TrialNum,TrialNumInBlock,BlockNum,BlockMarkersOn,TrialTargetNum,TargDirID
1,1,1,0,5,1
2,2,1,0,3,1
3,3,1,0,1,1
4,4,1,0,6,1
5,5,1,0,8,1
6,6,1,0,10,1
7,7,1,0,4,1
8,8,1,0,2,1
9,9,1,0,7,1
10,10,1,0,9,1
11,11,1,0,3,1
12,12,1,0,1,1
13,13,1,0,6,1
14,14,1,0,8,1
15,15,1,0,10,1
16,16,1,0,4,1
17,17,1,0,2,1
18,18,1,0,7,1
19,19,1,0,9,1
20,20,1,0,5,1
21,21,1,0,1,1
22,22,1,0,6,1
23,23,1,0,8,1
24,24,1,0,10,1
25,25,1,0,4,1
26,26,1,0,2,1
27,27,1,0,7,1
28,28,1,0,9,1
29,29,1,0,5,1
30,30,1,0,3,1
31,31,1,0,6,1
32,32,1,0,8,1
33,33,1,0,10,1
34,34,1,0,4,1
35,35,1,0,2,1
36,36,1,0,7,1
37,37,1,0,9,1
38,38,1,0,5,1
39,39,1,0,3,1
40,40,1,0,1,1
41,41,1,0,8,1
42,42,1,0,10,1
43,43,1,0,4,1
44,44,1,0,2,1
45,45,1,0,7,1
46,46,1,0,9,1
47,47,1,0,5,1
48,48,1,0,3,1
49,49,1,0,1,1
50,50,1,0,6,1
51,1,2,0,10,1
52,2,2,0,4,1
53,3,2,0,2,1
54,4,2,0,7,1
55,5,2,0,9,1
56,6,2,0,5,1
57,7,2,0,3,1
58,8,2,0,1,1
59,9,2,0,6,1
60,10,2,0,8,1
61,11,2,0,4,1
62,12,2,0,2,1
63,13,2,0,7,1
64,14,2,0,9,1
65,15,2,0,5,1
66,16,2,0,3,1
67,17,2,0,1,1
68,18,2,0,6,1
69,19,2,0,8,1
70,20,2,0,10,1
71,21,2,0,2,1
72,22,2,0,7,1
73,23,2,0,9,1
74,24,2,0,5,1
75,25,2,0,3,1
76,26,2,0,1,1
77,27,2,0,6,1
78,28,2,0,8,1
79,29,2,0,10,1
80,30,2,0,4,1
81,31,2,0,7,1
82,32,2,0,9,1
83,33,2,0,5,1
84,34,2,0,3,1
85,35,2,0,1,1
86,36,2,0,6,1
87,37,2,0,8,1
88,38,2,0,10,1
89,39,2,0,4,1
90,40,2,0,2,1
91,41,2,0,9,1
92,42,2,0,5,1
93,43,2,0,3,1
94,44,2,0,1,1
95,45,2,0,6,1
96,46,2,0,8,1
97,47,2,0,10,1
98,48,2,0,4,1
99,49,2,0,2,1
100,50,2,0,7,1
101,1,3,0,5,0
102,2,3,0,3,0
103,3,3,0,1,0
104,4,3,0,6,0
105,5,3,0,8,0
106,6,3,0,10,0
107,7,3,0,4,0
108,8,3,0,2,0
109,9,3,0,7,0
110,10,3,0,9,0
111,11,3,0,3,0
112,12,3,0,1,0
113,13,3,0,6,0
114,14,3,0,8,0
115,15,3,0,10,0
116,16,3,0,4,0
117,17,3,0,2,0
118,18,3,0,7,0
119,19,3,0,9,0
120,20,3,0,5,0
121,21,3,0,1,0
122,22,3,0,6,0
123,23,3,0,8,0
124,24,3,0,10,0
125,25,3,0,4,0
126,26,3,0,2,0
127,27,3,0,7,0
128,28,3,0,9,0
129,29,3,0,5,0
130,30,3,0,3,0
131,31,3,0,6,0
132,32,3,0,8,0
133,33,3,0,10,0
134,34,3,0,4,0
135,35,3,0,2,0
136,36,3,0,7,0
137,37,3,0,9,0
138,38,3,0,5,0
139,39,3,0,3,0
140,40,3,0,1,0
141,41,3,0,8,0
142,42,3,0,10,0
143,43,3,0,4,0
144,44,3,0,2,0
145,45,3,0,7,0
146,46,3,0,9,0
147,47,3,0,5,0
148,48,3,0,3,0
149,49,3,0,1,0
150,50,3,0,6,0
151,1,4,0,10,0
152,2,4,0,4,0
153,3,4,0,2,0
154,4,4,0,7,0
155,5,4,0,9,0
156,6,4,0,5,0
157,7,4,0,3,0
158,8,4,0,1,0
159,9,4,0,6,0
160,10,4,0,8,0
161,11,4,0,4,0
162,12,4,0,2,0
163,13,4,0,7,0
164,14,4,0,9,0
165,15,4,0,5,0
166,16,4,0,3,0
167,17,4,0,1,0
168,18,4,0,6,0
169,19,4,0,8,0
170,20,4,0,10,0
171,21,4,0,2,0
172,22,4,0,7,0
173,23,4,0,9,0
174,24,4,0,5,0
175,25,4,0,3,0
176,26,4,0,1,0
177,27,4,0,6,0
178,28,4,0,8,0
179,29,4,0,10,0
180,30,4,0,4,0
181,31,4,0,7,0
182,32,4,0,9,0
183,33,4,0,5,0
184,34,4,0,3,0
185,35,4,0,1,0
186,36,4,0,6,0
187,37,4,0,8,0
188,38,4,0,10,0
189,39,4,0,4,0
190,40,4,0,2,0
191,41,4,0,9,0
192,42,4,0,5,0
193,43,4,0,3,0
194,44,4,0,1,0
195,45,4,0,6,0
196,46,4,0,8,0
197,47,4,0,10,0
198,48,4,0,4,0
199,49,4,0,2,0
200,50,4,0,7,0
201,1,5,0,5,2
202,2,5,0,3,2
203,3,5,0,1,2
204,4,5,0,6,2
205,5,5,0,8,2
206,6,5,0,10,2
207,7,5,0,4,2
208,8,5,0,2,2
209,9,5,0,7,2
210,10,5,0,9,2
211,11,5,0,3,2
212,12,5,0,1,2
213,13,5,0,6,2
214,14,5,0,8,2
215,15,5,0,10,2
216,16,5,0,4,2
217,17,5,0,2,2
218,18,5,0,7,2
219,19,5,0,9,2
220,20,5,0,5,2
221,21,5,0,1,2
222,22,5,0,6,2
223,23,5,0,8,2
224,24,5,0,10,2
225,25,5,0,4,2
226,26,5,0,2,2
227,27,5,0,7,2
228,28,5,0,9,2
229,29,5,0,5,2
230,30,5,0,3,2
231,31,5,0,6,2
232,32,5,0,8,2
233,33,5,0,10,2
234,34,5,0,4,2
235,35,5,0,2,2
236,36,5,0,7,2
237,37,5,0,9,2
238,38,5,0,5,2
239,39,5,0,3,2
240,40,5,0,1,2
241,41,5,0,8,2
242,42,5,0,10,2
243,43,5,0,4,2
244,44,5,0,2,2
245,45,5,0,7,2
246,46,5,0,9,2
247,47,5,0,5,2
248,48,5,0,3,2
249,49,5,0,1,2
250,50,5,0,6,2
251,1,6,0,10,2
252,2,6,0,4,2
253,3,6,0,2,2
254,4,6,0,7,2
255,5,6,0,9,2
256,6,6,0,5,2
257,7,6,0,3,2
258,8,6,0,1,2
259,9,6,0,6,2
260,10,6,0,8,2
261,11,6,0,4,2
262,12,6,0,2,2
263,13,6,0,7,2
264,14,6,0,9,2
265,15,6,0,5,2
266,16,6,0,3,2
267,17,6,0,1,2
268,18,6,0,6,2
269,19,6,0,8,2
270,20,6,0,10,2
271,21,6,0,2,2
272,22,6,0,7,2
273,23,6,0,9,2
274,24,6,0,5,2
275,25,6,0,3,2
276,26,6,0,1,2
277,27,6,0,6,2
278,28,6,0,8,2
279,29,6,0,10,2
280,30,6,0,4,2
281,31,6,0,7,2
282,32,6,0,9,2
283,33,6,0,5,2
284,34,6,0,3,2
285,35,6,0,1,2
286,36,6,0,6,2
287,37,6,0,8,2
288,38,6,0,10,2
289,39,6,0,4,2
290,40,6,0,2,2
291,41,6,0,9,2
292,42,6,0,5,2
293,43,6,0,3,2
294,44,6,0,1,2
295,45,6,0,6,2
296,46,6,0,8,2
297,47,6,0,10,2
298,48,6,0,4,2
299,49,6,0,2,2
300,50,6,0,7,2
